0,fish0,XYZ
1,fish1,ABC
2,fish2,XYZ
3,fish3,ABC
4,fish4,XYZ
5,fish5,ABC
6,fish6,XYZ
7,fish7,ABC
8,fish8,XYZ
9,fish9,ABC
10,fish10,XYZ
11,fish11,ABC
12,fish12,XYZ
13,fish13,ABC
14,fish14,XYZ
15,fish15,ABC
16,fish16,XYZ
17,fish17,ABC
18,fish18,XYZ
19,fish19,ABC
20,fish20,XYZ
21,fish21,ABC
22,fish22,XYZ
23,fish23,ABC
24,fish24,XYZ
25,fish25,ABC
26,fish26,XYZ
27,fish27,ABC
28,fish28,XYZ
29,fish29,ABC
30,fish30,XYZ
31,fish31,ABC
32,fish32,XYZ
33,fish33,ABC
34,fish34,XYZ
35,fish35,ABC
36,fish36,XYZ
37,fish37,ABC
38,fish38,XYZ
39,fish39,ABC
40,fish40,XYZ
41,fish41,ABC
42,fish42,XYZ
43,fish43,ABC
44,fish44,XYZ
45,fish45,ABC
46,fish46,XYZ
47,fish47,ABC
48,fish48,XYZ
49,fish49,ABC
50,fish50,XYZ
51,fish51,ABC
52,fish52,XYZ
53,fish53,ABC
54,fish54,XYZ
55,fish55,ABC
56,fish56,XYZ
57,fish57,ABC
58,fish58,XYZ
59,fish59,ABC
60,fish60,XYZ
61,fish61,ABC
62,fish62,XYZ
63,fish63,ABC
64,fish64,XYZ
65,fish65,ABC
66,fish66,XYZ
67,fish67,ABC
68,fish68,XYZ
69,fish69,ABC
70,fish70,XYZ
71,fish71,ABC
72,fish72,XYZ
73,fish73,ABC
74,fish74,XYZ
75,fish75,ABC
76,fish76,XYZ
77,fish77,ABC
78,fish78,XYZ
79,fish79,ABC
80,fish80,XYZ
81,fish81,ABC
82,fish82,XYZ
83,fish83,ABC
84,fish84,XYZ
85,fish85,ABC
86,fish86,XYZ
87,fish87,ABC
88,fish88,XYZ
89,fish89,ABC
90,fish90,XYZ
91,fish91,ABC
92,fish92,XYZ
93,fish93,ABC
94,fish94,XYZ
95,fish95,ABC
96,fish96,XYZ
97,fish97,ABC
98,fish98,XYZ
99,fish99,ABC
100,fish100,XYZ
101,fish101,ABC
102,fish102,XYZ
103,fish103,ABC
104,fish104,XYZ
105,fish105,ABC
106,fish106,XYZ
107,fish107,ABC
108,fish108,XYZ
109,fish109,ABC
110,fish110,XYZ
111,fish111,ABC
112,fish112,XYZ
113,fish113,ABC
114,fish114,XYZ
115,fish115,ABC
116,fish116,XYZ
117,fish117,ABC
118,fish118,XYZ
119,fish119,ABC
120,fish120,XYZ
121,fish121,ABC
122,fish122,XYZ
123,fish123,ABC
124,fish124,XYZ
125,fish125,ABC
126,fish126,XYZ
127,fish127,ABC
128,fish128,XYZ
129,fish129,ABC
130,fish130,XYZ
131,fish131,ABC
132,fish132,XYZ
133,fish133,ABC
134,fish134,XYZ
135,fish135,ABC
136,fish136,XYZ
137,fish137,ABC
138,fish138,XYZ
139,fish139,ABC
140,fish140,XYZ
141,fish141,ABC
142,fish142,XYZ
143,fish143,ABC
144,fish144,XYZ
145,fish145,ABC
146,fish146,XYZ
147,fish147,ABC
148,fish148,XYZ
149,fish149,ABC
150,fish150,XYZ
151,fish151,ABC
152,fish152,XYZ
153,fish153,ABC
154,fish154,XYZ
155,fish155,ABC
156,fish156,XYZ
157,fish157,ABC
158,fish158,XYZ
159,fish159,ABC
160,fish160,XYZ
161,fish161,ABC
162,fish162,XYZ
163,fish163,ABC
164,fish164,XYZ
165,fish165,ABC
166,fish166,XYZ
167,fish167,ABC
168,fish168,XYZ
169,fish169,ABC
170,fish170,XYZ
171,fish171,ABC
